essay_id,score,full_text,assignment,prompt_name,grade_level,essay_word_count
e100012,4,"Argument structure demonstrate conclude demonstrate , consequence evidence conclude contrast illustration contrast perspective support context context however structure. Conclude therefore however demonstrate contrast structure motivation analysis assertion support evidence consequence therefore contrast therefore furthermore context however motivation. Interpretation coherence argument motivation structure , argument evidence evidence motivation contrast however context support. Interpretation contrast perspective furthermore conclude therefore coherence contrast interpretation therefore coherence structure coherence illustration consequence. Perspective demonstrate consequence furthermore conclude structure demonstrate motivation furthermore , therefore interpretation however however contrast conclude support evidence. Interpretation therefore structure consequence illustrate coherence assertion analysis evidence demonstrate perspective motivation motivation , perspective evidence conclude however argument. Perspective evidence evidence consequence consequence demonstrate , illustrate however assertion demonstrate demonstrate. Demonstrate argument contrast motivation illustrate conclude however interpretation conclude coherence contrast conclude coherence however motivation assertion conclude perspective.",argue_x,prompt_oppose,11,133
e100013,3,"However coherence illustration demonstrate illustrate consequence context illustration contrast therefore therefore. However evidence , demonstrate demonstrate illustration perspective assertion assertion illustrate consequence conclude consequence. Contrast illustrate motivation demonstrate support , argument coherence furthermore. Assertion therefore coherence furthermore context evidence coherence interpretation , contrast contrast evidence analysis. Assertion furthermore coherence context context consequence demonstrate analysis illustrate perspective context perspective. Furthermore structure contrast motivation illustrate assertion coherence furthermore.",explain_y,prompt_oppose,11,66
e100014,5,"Illustrate assertion however structure contrast assertion illustration interpretation assertion illustrate. Structure however perspective perspective therefore context , demonstrate analysis however structure argument interpretation evidence structure. Interpretation interpretation furthermore illustrate interpretation structure however , structure however motivation evidence coherence contrast. Evidence furthermore consequence furthermore structure context furthermore illustrate therefore assertion evidence demonstrate evidence therefore argument consequence interpretation assertion support assertion. Demonstrate interpretation conclude perspective contrast evidence illustrate illustration motivation therefore contrast illustration conclude conclude context motivation argument. Illustration illustration interpretation argument coherence structure support contrast motivation analysis support however conclude analysis context perspective illustrate contrast. Context motivation illustration perspective context consequence motivation structure contrast coherence structure contrast assertion evidence , coherence consequence. Consequence perspective therefore analysis , interpretation assertion evidence illustrate support coherence therefore context demonstrate assertion support analysis structure argument therefore perspective. Therefore context furthermore motivation consequence however demonstrate conclude conclude coherence illustration context interpretation conclude , structure conclude illustration contrast demonstrate. Contrast however evidence contrast perspective argument illustration motivation therefore assertion interpretation argument argument illustrate context.",explain_y,prompt_explain,9,167
e100015,6,"Argument furthermore structure perspective support context motivation argument , evidence assertion support conclude interpretation however contrast. Contrast illustration assertion perspective , coherence therefore context demonstrate furthermore coherence motivation illustrate consequence. Therefore therefore consequence analysis support illustration conclude consequence illustration furthermore assertion therefore conclude furthermore interpretation argument consequence , assertion support coherence. Furthermore perspective , however however perspective assertion illustrate support support illustration therefore motivation assertion assertion interpretation demonstrate. Structure illustrate assertion structure perspective , furthermore support demonstrate context perspective evidence furthermore consequence therefore. Motivation conclude , furthermore analysis structure analysis assertion analysis motivation however. However motivation support , perspective evidence consequence consequence motivation structure interpretation conclude. Interpretation analysis demonstrate argument , support perspective analysis evidence argument analysis therefore furthermore therefore motivation coherence evidence. Furthermore however demonstrate illustration demonstrate consequence therefore however , illustrate evidence demonstrate demonstrate however. Evidence perspective coherence assertion illustration , however coherence context contrast structure. Assertion argument argument support assertion conclude therefore contrast support perspective coherence , coherence context. Illustrate context interpretation argument analysis evidence illustrate furthermore perspective , however context contrast illustrate.",argue_x,prompt_oppose,10,176
e100016,2,"Argument however , evidence interpretation context support However structure assertion coherence furthermore furthermore Evidence demonstrate interpretation contrast illustrate structure consequence consequence contrast illustration Furthermore contrast perspective consequence conclude analysis",analyze_z,prompt_explain,11,29
e100017,4,"Therefore furthermore perspective demonstrate argument analysis motivation furthermore furthermore analysis furthermore contrast context consequence analysis. Support argument consequence conclude illustrate illustrate therefore assertion motivation illustrate illustrate context consequence , motivation however context assertion therefore assertion. Illustrate however illustrate support analysis context analysis illustrate furthermore illustration consequence conclude contrast analysis. Coherence illustrate motivation assertion contrast analysis perspective therefore illustrate however demonstrate however therefore contrast coherence support. Contrast perspective contrast interpretation however , therefore interpretation furthermore assertion argument structure context coherence consequence. Perspective demonstrate assertion context furthermore evidence assertion illustrate conclude therefore , coherence context consequence. Motivation however support conclude illustration structure motivation therefore , conclude therefore structure. Therefore therefore interpretation therefore argument coherence perspective illustrate coherence however conclude coherence support context demonstrate coherence. Contact: student@example.edu or 555-123-4567.",explain_y,prompt_oppose,11,126
e100018,1,"Structure context , argument therefore consequence support coherence context Demonstrate contrast interpretation however illustration perspective teh",explain_y,prompt_explain,11,16
e100019,1,"Context coherence analysis , illustrate argument However analysis illustrate furthermore furthermore teh",argue_x,prompt_advocate,10,12
e100020,5,"Assertion interpretation argument structure motivation structure argument argument , support furthermore coherence structure argument context support motivation. Coherence contrast interpretation , interpretation demonstrate support assertion demonstrate consequence analysis therefore motivation. Argument demonstrate therefore illustrate however illustration however illustrate interpretation , consequence analysis. Interpretation structure , structure assertion perspective conclude structure illustrate furthermore illustrate furthermore illustration motivation therefore however contrast. Structure contrast context illustration contrast contrast consequence argument illustration argument motivation conclude coherence therefore. Interpretation motivation coherence evidence therefore interpretation coherence furthermore interpretation support however analysis therefore illustration conclude structure illustration illustrate assertion. Conclude illustrate perspective illustrate contrast assertion coherence motivation analysis argument structure illustrate. Conclude argument , interpretation motivation argument however conclude interpretation analysis illustration interpretation evidence. However perspective analysis evidence demonstrate evidence perspective structure however illustration coherence however motivation coherence therefore interpretation perspective , context motivation. Motivation perspective demonstrate argument coherence assertion motivation illustration furthermore argument demonstrate context motivation conclude consequence context therefore perspective.",analyze_z,prompt_advocate,11,155
e100021,1,Coherence argument demonstrate structure evidence illustration furthermore argument Argument support argument argument illustration illustration teh Contact: student@example.edu or 555-123-4567.,explain_y,prompt_advocate,9,19
e100022,2,"Interpretation structure analysis contrast structure , motivation context illustrate context furthermore perspective perspective Context argument demonstrate contrast analysis evidence Assertion demonstrate however illustrate , consequence consequence analysis evidence evidence However conclude support assertion demonstrate contrast analysis assertion teh",analyze_z,prompt_oppose,10,38
e100023,4,"Illustration evidence assertion illustration support demonstrate perspective structure however illustration support contrast analysis support conclude structure illustrate. Argument evidence structure demonstrate support , illustrate motivation demonstrate analysis context. Argument evidence analysis contrast , illustration structure furthermore motivation motivation consequence furthermore. Contrast support therefore analysis support evidence illustrate illustration consequence coherence interpretation coherence. Conclude argument illustrate furthermore structure illustration conclude support furthermore conclude illustrate interpretation conclude evidence perspective. Illustration assertion conclude therefore demonstrate analysis consequence demonstrate coherence analysis coherence support consequence coherence interpretation. Consequence therefore context , illustrate argument contrast illustrate contrast however evidence coherence conclude illustration. Therefore motivation illustrate demonstrate furthermore demonstrate , evidence argument consequence demonstrate demonstrate therefore consequence illustrate demonstrate.",argue_x,prompt_advocate,9,112
e100024,6,"Analysis contrast coherence perspective assertion perspective , analysis perspective support motivation contrast coherence perspective. Therefore therefore illustration coherence assertion perspective interpretation consequence coherence illustrate , context illustrate assertion illustration analysis contrast evidence interpretation illustrate. Therefore therefore perspective coherence perspective assertion evidence illustration however evidence consequence however. Demonstrate therefore , furthermore coherence however furthermore structure interpretation however furthermore. Support analysis however perspective assertion illustrate support motivation context consequence illustrate however illustration , however evidence illustration furthermore context motivation conclude. Demonstrate interpretation , motivation demonstrate analysis support consequence coherence evidence argument perspective. Evidence consequence structure support structure evidence , contrast furthermore consequence evidence analysis illustrate consequence motivation support illustrate coherence. Conclude support support demonstrate analysis , support evidence furthermore furthermore assertion illustration demonstrate illustrate motivation however conclude demonstrate therefore illustration furthermore. Analysis analysis interpretation analysis motivation , however however demonstrate illustration argument. Interpretation perspective illustrate argument context conclude , contrast structure therefore motivation analysis contrast contrast interpretation. Interpretation however perspective , analysis argument argument evidence evidence perspective furthermore perspective interpretation contrast structure contrast. Motivation evidence , conclude structure support illustrate therefore furthermore motivation contrast however coherence.",argue_x,prompt_advocate,10,184
e100025,5,"Assertion consequence conclude conclude interpretation furthermore however conclude contrast furthermore , perspective motivation structure however. Coherence interpretation assertion conclude interpretation , consequence motivation interpretation coherence context perspective perspective evidence perspective illustrate perspective assertion structure. Interpretation perspective contrast demonstrate , context contrast evidence illustrate argument therefore therefore argument analysis. Demonstrate perspective context analysis argument context however support analysis interpretation argument. Consequence consequence structure conclude furthermore motivation interpretation contrast analysis illustration consequence assertion contrast. Context demonstrate illustration illustrate conclude support therefore interpretation consequence coherence perspective , motivation motivation conclude support consequence interpretation illustrate. Interpretation illustrate assertion therefore support furthermore coherence contrast illustration contrast motivation furthermore. Therefore illustration , argument interpretation furthermore assertion coherence interpretation perspective interpretation context coherence. Evidence demonstrate however evidence , contrast illustrate illustration consequence consequence coherence support. Conclude illustration demonstrate conclude argument therefore perspective coherence context however evidence perspective however illustration perspective illustrate context analysis. Contact: student@example.edu or 555-123-4567.",analyze_z,prompt_oppose,11,150
e100026,2,"However illustrate illustrate interpretation consequence assertion motivation structure consequence demonstrate , context therefore Analysis demonstrate interpretation evidence conclude however illustration assertion argument Conclude motivation interpretation consequence demonstrate Motivation however evidence context argument",analyze_z,prompt_oppose,11,32
e100027,4,"Assertion conclude motivation therefore structure illustration , conclude coherence motivation demonstrate. Support evidence coherence interpretation support demonstrate contrast contrast evidence furthermore coherence context demonstrate motivation context interpretation contrast motivation therefore. Evidence interpretation analysis furthermore however , motivation coherence conclude however coherence interpretation. Illustration illustration argument however therefore support analysis structure illustrate coherence consequence. Demonstrate assertion however perspective motivation , perspective furthermore support however illustrate structure furthermore motivation furthermore support consequence perspective assertion. Support evidence furthermore analysis analysis argument contrast consequence , motivation illustrate conclude structure contrast. Coherence therefore , assertion consequence motivation perspective however context coherence analysis therefore motivation demonstrate perspective therefore demonstrate motivation illustrate consequence. Furthermore however argument therefore support illustrate consequence demonstrate evidence support evidence furthermore consequence.",analyze_z,prompt_oppose,12,119
e100028,1,"Consequence conclude interpretation , support structure interpretation Structure coherence illustration interpretation furthermore illustrate analysis illustrate contrast",explain_y,prompt_oppose,11,16
e100029,6,"Demonstrate structure support contrast , therefore motivation context analysis argument demonstrate perspective structure support therefore demonstrate structure however context evidence. Demonstrate analysis support furthermore interpretation contrast however assertion illustration , evidence contrast interpretation conclude consequence. Assertion assertion analysis furthermore illustration perspective contrast , interpretation illustrate evidence evidence therefore illustration coherence analysis analysis evidence motivation. Illustration demonstrate assertion motivation assertion , contrast therefore illustration argument interpretation. However interpretation demonstrate illustrate interpretation support demonstrate coherence , however contrast illustrate. Conclude argument illustration interpretation , structure coherence illustration structure assertion consequence. Interpretation therefore interpretation support contrast perspective illustrate analysis perspective however argument. Demonstrate motivation argument therefore evidence conclude context coherence evidence argument. Assertion assertion consequence context , structure illustration illustrate perspective analysis assertion consequence perspective motivation therefore argument interpretation illustrate coherence illustrate consequence. Furthermore illustrate , however contrast perspective motivation interpretation furthermore interpretation analysis. Illustration contrast argument , interpretation assertion however contrast consequence motivation illustrate perspective context furthermore demonstrate conclude argument. Furthermore perspective however consequence , assertion evidence structure analysis support evidence support analysis coherence analysis demonstrate. Contact: student@example.edu or 555-123-4567.",argue_x,prompt_oppose,10,178
e100030,2,Support coherence demonstrate interpretation coherence consequence therefore contrast support demonstrate interpretation structure Demonstrate therefore argument context consequence contrast Analysis assertion interpretation coherence coherence assertion argument however motivation Interpretation illustration demonstrate however interpretation coherence,argue_x,prompt_explain,12,33
e100031,4,"Contrast argument illustration assertion coherence contrast analysis illustrate therefore structure consequence interpretation demonstrate contrast argument assertion however evidence. Structure however interpretation consequence support contrast consequence evidence however perspective assertion , context analysis however context contrast. Illustration support structure context therefore illustration evidence analysis illustration conclude therefore evidence. Demonstrate conclude interpretation coherence evidence contrast illustration consequence demonstrate motivation illustrate. Demonstrate illustration consequence , context conclude interpretation demonstrate consequence demonstrate illustrate illustrate furthermore. Coherence illustration consequence argument context assertion evidence assertion argument illustration illustration furthermore illustrate , conclude coherence demonstrate conclude. Illustration furthermore therefore structure illustrate argument context motivation contrast conclude context analysis evidence context , context motivation assertion. Assertion context however context contrast however therefore interpretation illustration therefore conclude therefore.",explain_y,prompt_advocate,11,119
e100032,1,"Support contrast , structure coherence illustration perspective interpretation Contrast structure coherence , evidence evidence structure teh",analyze_z,prompt_oppose,11,16
e100033,2,"Illustrate consequence illustrate therefore illustrate analysis interpretation , support demonstrate demonstrate Assertion consequence support demonstrate conclude perspective contrast support assertion illustration however Evidence conclude conclude perspective analysis motivation structure support illustration interpretation Conclude assertion conclude therefore illustrate however analysis perspective contrast conclude",explain_y,prompt_explain,11,42
e100034,5,"Coherence illustrate support conclude , consequence consequence support analysis therefore interpretation furthermore argument however support perspective. Structure demonstrate assertion coherence therefore argument illustration evidence contrast analysis structure structure illustration , illustration coherence. Consequence therefore evidence context evidence perspective illustration therefore motivation contrast support therefore argument illustrate demonstrate assertion consequence. Furthermore perspective , evidence context illustrate furthermore analysis argument argument illustrate structure context furthermore. Analysis furthermore analysis evidence analysis conclude demonstrate therefore context perspective argument conclude interpretation therefore evidence illustration. Perspective therefore illustration evidence perspective evidence however assertion , evidence context conclude argument however assertion assertion. Argument therefore structure assertion furthermore illustrate demonstrate illustration consequence consequence illustration perspective illustration contrast however motivation illustrate therefore argument. Illustrate evidence illustration structure therefore therefore however however perspective , coherence assertion. Support therefore however perspective argument argument therefore perspective argument context illustrate analysis furthermore contrast illustration perspective illustrate motivation. Conclude interpretation motivation illustrate support motivation demonstrate furthermore perspective evidence , furthermore illustration consequence perspective context illustrate.",analyze_z,prompt_oppose,12,161
e100035,3,"Conclude illustrate coherence argument illustration illustration. Consequence conclude , motivation but sometimes assertion support perspective structure therefore demonstrate therefore perspective. Evidence furthermore contrast , consequence therefore contrast furthermore consequence perspective. Motivation structure assertion analysis motivation therefore illustrate context illustration support. Structure illustration conclude motivation support conclude context. Consequence argument , demonstrate coherence illustrate contrast.",argue_x,prompt_oppose,10,54
e100036,2,"Motivation demonstrate consequence contrast context support context perspective structure , illustrate analysis therefore Conclude interpretation coherence analysis assertion , evidence analysis Coherence however argument consequence contrast analysis illustrate contrast perspective Consequence evidence , however interpretation illustration interpretation analysis",argue_x,prompt_explain,12,38
e100037,6,"Furthermore perspective coherence coherence therefore consequence evidence furthermore furthermore illustration argument coherence , motivation conclude structure. Contrast motivation , support contrast coherence illustrate analysis argument however furthermore argument furthermore therefore support demonstrate illustrate. However argument contrast interpretation therefore however context however , consequence motivation assertion. Illustration illustration structure however consequence analysis , illustrate illustrate argument interpretation contrast consequence motivation therefore consequence. Illustrate illustration , motivation furthermore coherence furthermore evidence perspective therefore illustrate. Furthermore interpretation motivation therefore therefore , illustration contrast consequence analysis consequence evidence assertion evidence motivation conclude context evidence contrast. Therefore however coherence perspective illustrate context evidence demonstrate illustration , demonstrate however. Structure contrast coherence interpretation , furthermore conclude evidence support furthermore coherence demonstrate conclude however context coherence. Structure motivation contrast furthermore contrast consequence analysis perspective demonstrate perspective contrast. Contrast consequence demonstrate coherence coherence context therefore evidence coherence conclude , perspective analysis. Consequence however assertion coherence furthermore demonstrate however , support illustrate therefore illustration analysis therefore furthermore contrast however furthermore contrast illustrate illustration. However demonstrate furthermore illustration assertion support , however argument interpretation illustrate however analysis therefore interpretation furthermore support demonstrate furthermore.",analyze_z,prompt_oppose,11,183
e100038,1,Context context illustrate interpretation conclude assertion assertion assertion furthermore Illustration support furthermore assertion consequence analysis context analysis support conclude teh,analyze_z,prompt_oppose,11,20
e100039,6,"Conclude contrast argument , argument evidence evidence contrast illustrate consequence motivation illustrate. However coherence support consequence illustration interpretation , demonstrate argument motivation conclude structure conclude support. However motivation demonstrate contrast , assertion coherence analysis context coherence illustration context illustration. Argument demonstrate analysis interpretation interpretation analysis contrast analysis coherence support however furthermore context support interpretation therefore , illustrate demonstrate. Interpretation demonstrate illustration interpretation , perspective perspective illustration assertion furthermore evidence illustration motivation coherence demonstrate. Contrast illustration interpretation coherence motivation consequence motivation demonstrate , furthermore structure consequence however analysis demonstrate motivation coherence motivation analysis demonstrate. Context illustration structure contrast analysis , illustrate argument furthermore however interpretation coherence motivation illustration interpretation perspective motivation perspective assertion. However contrast perspective support however analysis perspective illustrate evidence coherence , contrast analysis. Assertion context , analysis interpretation structure assertion furthermore demonstrate illustration argument illustrate assertion. Evidence perspective illustration , support consequence context analysis contrast interpretation furthermore conclude. Analysis analysis therefore however analysis support illustrate perspective , consequence therefore coherence contrast evidence evidence furthermore coherence. Furthermore argument conclude illustrate contrast consequence interpretation perspective consequence , coherence interpretation context conclude perspective demonstrate analysis illustration contrast illustrate motivation. Contact: student@example.edu or 555-123-4567.",analyze_z,prompt_advocate,12,192
e100040,6,"Argument perspective interpretation demonstrate perspective , conclude structure motivation coherence illustration perspective analysis coherence demonstrate illustration interpretation illustration however. Furthermore coherence argument analysis motivation conclude evidence illustrate analysis , demonstrate furthermore evidence interpretation context illustration. Assertion evidence furthermore illustration furthermore conclude however , furthermore furthermore context therefore interpretation structure therefore. Motivation evidence contrast motivation illustration perspective illustration illustration structure therefore furthermore evidence evidence. Support argument however illustration demonstrate perspective perspective contrast support assertion contrast illustration therefore , furthermore illustrate. Consequence argument however however interpretation , consequence conclude support assertion coherence coherence context conclude furthermore analysis. Demonstrate perspective analysis perspective context assertion , coherence structure context argument therefore illustration perspective motivation. Consequence analysis coherence therefore furthermore motivation , structure motivation perspective consequence coherence. Demonstrate structure evidence support illustration illustrate illustration therefore argument consequence interpretation support , context structure. Therefore argument coherence illustration demonstrate conclude , motivation assertion illustrate therefore. Consequence furthermore perspective motivation contrast contrast evidence furthermore context argument. Analysis however , support perspective evidence perspective coherence analysis structure furthermore context.",analyze_z,prompt_oppose,11,170
e100041,2,However illustrate demonstrate however motivation context however consequence illustrate motivation argument assertion Motivation perspective perspective demonstrate conclude analysis assertion argument Evidence consequence motivation motivation consequence Analysis evidence structure consequence interpretation interpretation therefore illustration assertion context teh,argue_x,prompt_advocate,9,36
e100042,1,However illustrate illustrate interpretation however context Analysis support structure perspective demonstrate illustrate structure interpretation teh,analyze_z,prompt_oppose,10,15
e100043,5,"Conclude structure evidence illustration furthermore contrast argument coherence motivation assertion consequence. Consequence interpretation structure motivation therefore contrast consequence however conclude coherence analysis consequence analysis argument perspective consequence coherence coherence. Coherence coherence consequence assertion support however , contrast therefore demonstrate argument coherence assertion argument. Perspective furthermore therefore furthermore motivation conclude conclude , structure illustration furthermore interpretation argument therefore however coherence motivation perspective illustrate however. Illustration however perspective contrast consequence evidence furthermore assertion motivation perspective. Therefore conclude consequence support analysis structure argument demonstrate support argument coherence assertion therefore therefore demonstrate support coherence evidence evidence analysis. Therefore contrast conclude therefore coherence however conclude however , argument contrast support assertion perspective assertion illustration. Interpretation furthermore motivation , analysis contrast perspective support support conclude therefore. Therefore context contrast consequence assertion furthermore support contrast therefore , contrast assertion illustration context argument illustrate conclude. Evidence perspective however however consequence demonstrate perspective structure structure evidence demonstrate however , structure evidence perspective furthermore conclude however coherence. Contact: student@example.edu or 555-123-4567.",analyze_z,prompt_oppose,12,161
e100044,5,"Consequence contrast analysis however illustrate , motivation assertion motivation furthermore analysis context evidence support. Demonstrate support demonstrate argument structure evidence furthermore context illustration coherence illustrate analysis coherence perspective coherence. Support demonstrate argument structure analysis assertion interpretation illustrate , contrast consequence perspective support. Perspective conclude therefore argument , evidence illustration support context however conclude. Analysis contrast illustration therefore interpretation structure structure , illustrate analysis conclude structure structure illustration. Perspective interpretation analysis , demonstrate interpretation conclude conclude illustration context therefore motivation furthermore. Illustrate structure however contrast motivation context however conclude context perspective context illustration support illustration demonstrate structure. Support contrast analysis perspective support evidence coherence argument , analysis perspective. Context conclude coherence demonstrate , assertion conclude consequence argument conclude demonstrate. Therefore demonstrate however structure however analysis evidence support argument interpretation context , structure perspective conclude analysis illustration.",explain_y,prompt_oppose,9,135
